an, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130381, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131100, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131131, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131161, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131192, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131223, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131254, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131286, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131317, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131350, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131381, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
