0.889583333, 2: 1219, 3: 1200, 4: 1203, roll: -0.11, pitch: 0.04, yaw: 0.11,0.044,0.049,0.027, Alt: 10.01, Integrators ON
0.889583333, 2: 1220, 3: 1200, 4: 1202, roll: -0.11, pitch: 0.03, yaw: 0.11,0.04,0.051,0.024, Alt: 10.25, Integrators ON
0.889583333, 2: 1220, 3: 1200, 4: 1201, roll: -0.12, pitch: 0.03, yaw: 0.11,0.039,0.047,0.025, Alt: 10.48, Integrators ON
0.889583333, 2: 1221, 3: 1200, 4: 1200, roll: -0.12, pitch: 0.02, yaw: 0.10,0.029,0.044,0.025, Alt: 10.75, Integrators ON
0.889583333, 2: 1221, 3: 1200, 4: 1200, roll: -0.13, pitch: 0.01, yaw: 0.10,0.031,0.044,0.026, Alt: 11.00, Integrators ON
0.889583333, 2: 1221, 3: 1200, 4: 1200, roll: -0.13, pitch: 0.01, yaw: 0.10,0.028,0.045,0.023, Alt: 11.24, Integrators ON
0.889583333, 2: 1222, 3: 1201, 4: 1199, roll: -0.13, pitch: 0.00, yaw: 0.09,0.021,0.043,0.025, Alt: 11.52, Integrators ON
0.889583333, 2: 1222, 3: 1201, 4: 1199, roll: -0.13, pitch: -0.00, yaw: 0.09,0.015,0.036,0.025, Alt: 11.78, Integrators ON
0.888888889, 2: 1222, 3: 1201, 4: 1199, roll: -0.13, pitch: -0.00, yaw: 0.09,0.006,0.032,0.026, Alt: 12.08, Integrators ON
0.888888889, 2: 1221, 3: 1201, 4: 1200, roll: -0.13, pitch: -0.01, yaw: 0.08,0.008,0.032,0.025, Alt: 12.37, Integrators ON
0.888888889, 2: 1221, 3: 1201, 4: 1200, roll: -0.14, pitch: -0.01, yaw: 0.08,0.006,0.031,0.024, Alt: 12.64, Integrators ON
0.888888889, 2: 1221, 3: 1201, 4: 1200, roll: -0.14, pitch: -0.01, yaw: 0.08,-0.002,0.02,0.026, Alt: 12.95, Integrators ON
0.888888889, 2: 1221, 3: 1201, 4: 1201, roll: -0.13, pitch: -0.02, yaw: 0.07,-0.006,0.015,0.026, Alt: 13.24, Integrators ON
0.888888889, 2: 1220, 3: 1201, 4: 1201, roll: -0.13, pitch: -0.02, yaw: 0.07,-0.009,0.014,0.028, Alt: 13.52, Integrators ON
0.889583333, 2: 1220, 3: 1201, 4: 1202, roll: -0.13, pitch: -0.02, yaw: 0.07,-0.008,0.013,0.026, Alt: 13.84, Integrators ON
0.889583333, 2: 1219, 3: 1201, 4: 1202, roll: -0.13, pitch: -0.02, yaw: 0.06,-0.017,0.006,0.025, Alt: 14.19, Integrators ON
0.889583333, 2: 1219, 3: 1200, 4: 1203, roll: -0.13, pitch: -0.02, yaw: 0.06,-0.023,0.003,0.029, Alt: 14.52, Integrators ON
0.889583333, 2: 1218, 3: 1201, 4: 1203, roll: -0.12, pitch: -0.02, yaw: 0.06,-0.027,-0.002,0.027, Alt: 14.89, Integrators ON
0.889583333, 2: 1217, 3: 1200, 4: 1204, roll: -0.12, pitch: -0.02, yaw: 0.05,-0.029,-0.007,0.027, Alt: 15.25, Integrators ON
0.889583333, 2: 1216, 3: 1200, 4: 1205, roll: -0.12, pitch: -0.02, yaw: 0.05,-0.033,-0.01,0.026, Alt: 15.63, Integrators ON
0.889583333, 2: 1216, 3: 1200, 4: 1206, roll: -0.11, pitch: -0.02, yaw: 0.05,-0.04,-0.014,0.029, Alt: 16.00, Integrators ON
0.889583333, 2: 1215, 3: 1200, 4: 1207, roll: -0.10, pitch: -0.01, yaw: 0.04,-0.098,-0.045,0.053, Alt: 16.40, Integrators ON
0.888888889, 2: 1211, 3: 1201, 4: 1210, roll: -0.09, pitch: -0.01, yaw: 0.04,-0.048,-0.027,0.028, Alt: 16.80, Integrators ON
0.888888889, 2: 1210, 3: 1201, 4: 1211, roll: -0.08, pitch: -0.00, yaw: 0.03,-0.054,-0.028,0.025, Alt: 17.21, Integrators ON
0.889583333, 2: 1210, 3: 1201, 4: 1212, roll: -0.08, pitch: 0.00, yaw: 0.04,-0.06,-0.035,-0.015, Alt: 17.61, Integrators ON
0.889583333, 2: 1209, 3: 1200, 4: 1213, roll: -0.07, pitch: 0.00, yaw: 0.03,-0.065,-0.037,0.025, Alt: 18.03, Integrators ON
0.889583333, 2: 1208, 3: 1200, 4: 1214, roll: -0.06, pitch: 0.01, yaw: 0.03,-0.063,-0.036,0.029, Alt: 18.44, Integrators ON
0.889583333, 2: 1207, 3: 1200, 4: 1214, roll: -0.05, pitch: 0.01, yaw: 0.03,-0.071,-0.041,0.024, Alt: 18.87, Integrators ON
0.889583333, 2: 1206, 3: 1200, 4: 1216, roll: -0.04, pitch: 0.02, yaw: 0.02,-0.07,-0.043,0.026, Alt: 19.34, Integrators ON
